id,Tournament,Stage,Match Type,Map,Agent,Pick Rate
1,Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,sova,69%
2,Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,cypher,56%
3,Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,omen,56%
4,Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,viper,44%
5,Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,killjoy,38%
6,Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,raze,31%
7,Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,breach,31%
8,Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,fade,25%
9,Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,neon,25%
10,Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,jett,25%
11,Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,astra,19%
12,Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,gekko,19%
13,Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,harbor,19%
14,Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,yoru,13%
15,Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,brimstone,13%
16,Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,skye,6%
17,Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,deadlock,6%
18,Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,kayo,6%
19,Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,iso,0%
20,Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,phoenix,0%
21,Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,clove,0%
22,Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,reyna,0%
23,Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,sage,0%
24,Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,chamber,0%
25,Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,sova,75%
26,Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,cypher,100%
27,Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,omen,100%
28,Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,viper,0%
29,Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,killjoy,0%
30,Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,raze,25%
31,Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,breach,75%
32,Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,fade,25%
